date,cat,net_jobs
2020-01-01,bottom_10,74278
2020-01-01,top_10,25176
2020-01-01,top_10_aug,24001
2020-01-01,top_10_aut,22133
2020-02-01,bottom_10,162650
2020-02-01,top_10,72491
2020-02-01,top_10_aug,70489
2020-02-01,top_10_aut,91123
2020-03-01,bottom_10,-278821
2020-03-01,top_10,12116
2020-03-01,top_10_aug,17767
2020-03-01,top_10_aut,10339
2020-04-01,bottom_10,-758033
2020-04-01,top_10,-59183
2020-04-01,top_10_aug,-51903
2020-04-01,top_10_aut,-65030
2020-05-01,bottom_10,-307181
2020-05-01,top_10,-29361
2020-05-01,top_10_aug,-26775
2020-05-01,top_10_aut,-37288
2020-06-01,bottom_10,-98251
2020-06-01,top_10,-16990
2020-06-01,top_10_aug,-13419
2020-06-01,top_10_aut,-28512
2020-07-01,bottom_10,25142
2020-07-01,top_10,-9494
2020-07-01,top_10_aug,-6603
2020-07-01,top_10_aut,-22594
2020-08-01,bottom_10,89553
2020-08-01,top_10,8565
2020-08-01,top_10_aug,12259
2020-08-01,top_10_aut,-4177
2020-09-01,bottom_10,148538
2020-09-01,top_10,13539
2020-09-01,top_10_aug,15238
2020-09-01,top_10_aut,2414
2020-10-01,bottom_10,256201
2020-10-01,top_10,24569
2020-10-01,top_10_aug,25068
2020-10-01,top_10_aut,13315
2020-11-01,bottom_10,268007
2020-11-01,top_10,18419
2020-11-01,top_10_aug,20069
2020-11-01,top_10_aut,13342
2020-12-01,bottom_10,54034
2020-12-01,top_10,-54202
2020-12-01,top_10_aug,-51171
2020-12-01,top_10_aut,-70533
2021-01-01,bottom_10,140104
2021-01-01,top_10,20980
2021-01-01,top_10_aug,25869
2021-01-01,top_10_aut,7807
2021-02-01,bottom_10,274210
2021-02-01,top_10,62122
2021-02-01,top_10_aug,63520
2021-02-01,top_10_aut,58833
2021-03-01,bottom_10,29342
2021-03-01,top_10,48593
2021-03-01,top_10_aug,52391
2021-03-01,top_10_aut,32122
2021-04-01,bottom_10,12770
2021-04-01,top_10,30325
2021-04-01,top_10_aug,37433
2021-04-01,top_10_aut,17136
2021-05-01,bottom_10,156667
2021-05-01,top_10,32996
2021-05-01,top_10_aug,38896
2021-05-01,top_10_aut,30455
2021-06-01,bottom_10,212884
2021-06-01,top_10,24003
2021-06-01,top_10_aug,29298
2021-06-01,top_10_aut,19907
2021-07-01,bottom_10,258233
2021-07-01,top_10,18139
2021-07-01,top_10_aug,21442
2021-07-01,top_10_aut,13700
2021-08-01,bottom_10,300385
2021-08-01,top_10,52937
2021-08-01,top_10_aug,56143
2021-08-01,top_10_aut,61584
2021-09-01,bottom_10,255149
2021-09-01,top_10,34023
2021-09-01,top_10_aug,37646
2021-09-01,top_10_aut,40607
2021-10-01,bottom_10,230335
2021-10-01,top_10,25578
2021-10-01,top_10_aug,28993
2021-10-01,top_10_aut,27462
2021-11-01,bottom_10,242895
2021-11-01,top_10,19428
2021-11-01,top_10_aug,25306
2021-11-01,top_10_aut,16378
2021-12-01,bottom_10,-21385
2021-12-01,top_10,-86218
2021-12-01,top_10_aug,-80843
2021-12-01,top_10_aut,-108658
2022-01-01,bottom_10,149118
2022-01-01,top_10,35369
2022-01-01,top_10_aug,36316
2022-01-01,top_10_aut,29209
2022-02-01,bottom_10,284813
2022-02-01,top_10,102220
2022-02-01,top_10_aug,100916
2022-02-01,top_10_aut,127705
2022-03-01,bottom_10,158282
2022-03-01,top_10,46771
2022-03-01,top_10_aug,50317
2022-03-01,top_10_aut,57445
2022-04-01,bottom_10,207147
2022-04-01,top_10,35701
2022-04-01,top_10_aug,35620
2022-04-01,top_10_aut,38129
2022-05-01,bottom_10,248924
2022-05-01,top_10,33135
2022-05-01,top_10_aug,35175
2022-05-01,top_10_aut,34630
2022-06-01,bottom_10,232591
2022-06-01,top_10,16304
2022-06-01,top_10_aug,19412
2022-06-01,top_10_aut,14054
2022-07-01,bottom_10,198250
2022-07-01,top_10,10421
2022-07-01,top_10_aug,12604
2022-07-01,top_10_aut,3598
2022-08-01,bottom_10,228818
2022-08-01,top_10,52959
2022-08-01,top_10_aug,51808
2022-08-01,top_10_aut,58954
2022-09-01,bottom_10,217246
2022-09-01,top_10,31518
2022-09-01,top_10_aug,35800
2022-09-01,top_10_aut,29706
2022-10-01,bottom_10,133448
2022-10-01,top_10,16116
2022-10-01,top_10_aug,20978
2022-10-01,top_10_aut,16372
2022-11-01,bottom_10,110434
2022-11-01,top_10,335
2022-11-01,top_10_aug,4185
2022-11-01,top_10_aut,-1823
2022-12-01,bottom_10,-158267
2022-12-01,top_10,-116031
2022-12-01,top_10_aug,-112551
2022-12-01,top_10_aut,-147477
2023-01-01,bottom_10,78832
2023-01-01,top_10,20407
2023-01-01,top_10_aug,21432
2023-01-01,top_10_aut,14470
2023-02-01,bottom_10,203416
2023-02-01,top_10,91779
2023-02-01,top_10_aug,86315
2023-02-01,top_10_aut,120383
2023-03-01,bottom_10,180271
2023-03-01,top_10,36997
2023-03-01,top_10_aug,35406
2023-03-01,top_10_aut,44442
2023-04-01,bottom_10,187549
2023-04-01,top_10,31087
2023-04-01,top_10_aug,29037
2023-04-01,top_10_aut,31883
2023-05-01,bottom_10,157803
2023-05-01,top_10,19671
2023-05-01,top_10_aug,19499
2023-05-01,top_10_aut,19112
2023-06-01,bottom_10,165433
2023-06-01,top_10,724
2023-06-01,top_10_aug,998
2023-06-01,top_10_aut,-397
2023-07-01,bottom_10,157148
2023-07-01,top_10,904
2023-07-01,top_10_aug,1032
2023-07-01,top_10_aut,-5882
2023-08-01,bottom_10,195366
2023-08-01,top_10,35643
2023-08-01,top_10_aug,35227
2023-08-01,top_10_aut,39610
2023-09-01,bottom_10,171085
2023-09-01,top_10,17661
2023-09-01,top_10_aug,18186
2023-09-01,top_10_aut,17344
2023-10-01,bottom_10,149078
2023-10-01,top_10,12407
2023-10-01,top_10_aug,14048
2023-10-01,top_10_aut,10566
2023-11-01,bottom_10,105204
2023-11-01,top_10,-3232
2023-11-01,top_10_aug,128
2023-11-01,top_10_aut,-6484
2023-12-01,bottom_10,-166366
2023-12-01,top_10,-118314
2023-12-01,top_10_aug,-117133
2023-12-01,top_10_aut,-148715
2024-01-01,bottom_10,132258
2024-01-01,top_10,31894
2024-01-01,top_10_aug,29810
2024-01-01,top_10_aut,24173
2024-02-01,bottom_10,254968
2024-02-01,top_10,87853
2024-02-01,top_10_aug,84674
2024-02-01,top_10_aut,115236
2024-03-01,bottom_10,204625
2024-03-01,top_10,42503
2024-03-01,top_10_aug,42833
2024-03-01,top_10_aut,47660
2024-04-01,bottom_10,219129
2024-04-01,top_10,32085
2024-04-01,top_10_aug,32036
2024-04-01,top_10_aut,31544
2024-05-01,bottom_10,124571
2024-05-01,top_10,16801
2024-05-01,top_10_aug,15937
2024-05-01,top_10_aut,15837
2024-06-01,bottom_10,193249
2024-06-01,top_10,7258
2024-06-01,top_10_aug,6801
2024-06-01,top_10_aut,5972
2024-07-01,bottom_10,168922
2024-07-01,top_10,6181
2024-07-01,top_10_aug,8000
2024-07-01,top_10_aut,-1548
2024-08-01,bottom_10,178479
2024-08-01,top_10,37706
2024-08-01,top_10_aug,37367
2024-08-01,top_10_aut,42534
